성별코드,만연령,만연령_제곱,교육정도_학력구분코드,교육정도_계열코드,혼인상태코드,연령_20대초반,연령_20대후반,연령_30대초반,연령_30대후반,여성기혼,남성미혼,여성미혼,고졸이하,전문대졸,대졸이상,이공계,인문사회,직업교육및직장체험_취업관련시험준비분야코드,연령계층코드,직업교육및직장체험_직업교육수혜구분코드,출생연도,가구주관계코드,가장최근학교_졸업및중퇴연월,가장최근학교_입학및편입연월,직업교육및직장체험_재학휴학중직장체험여부,가장최근학교_년제수,가장최근학교_편입경험유무,직업교육및직장체험_취업관련시험준비여부,최근직장_전공관련성코드,가장최근학교_휴학경험유무,조사연월,연령대,진성쉬었음,취업여부,취업예측확률,단절위험_환경평균,정책유형,재연결지수,지원필요도점수
2,25,625,4,40,1,0,1,0,0,0,0,1,0,1,0,0,1,0,3,1,1997,1,201902,201603,1,3,2,2,4,2,202205,25-29,0,1,0.9457516176877636,0.15633791231367275,재연결 가능 단절군,0.915,0.1257
1,38,1444,5,30,2,0,0,0,1,0,0,0,0,0,1,0,1,0,5,0,1984,1,0,0,0,0,0,0,0,0,202205,35-39,0,1,0.9700563947003576,0.05014325784812647,안정군,0.964,0.0441
2,36,1296,5,10,2,0,0,0,1,1,0,0,0,0,1,0,0,0,5,0,1987,2,0,0,0,0,0,0,0,0,202305,35-39,0,1,0.5958721642994972,0.30263997373455936,취업취약 비단절군,0.626,0.3331
1,25,625,5,40,1,0,1,0,0,0,1,0,0,0,1,0,1,7,3,1,1997,3,0,201603,1,0,0,1,0,0,202305,25-29,0,0,0.12770950674176482,0.12123110098163072,취업취약 비단절군,0.353,0.3465
2,21,441,3,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,2,1,1999,1,201802,201503,2,3,2,2,2,2,202105,20-24,0,1,0.7908319702933276,0.3957577582143863,안정군,0.735,0.3398
2,30,900,6,21,1,0,0,1,0,0,0,1,0,0,1,0,0,0,4,1,1990,3,0,201903,2,0,0,2,0,0,202105,30-34,0,1,0.2605524535999997,0.24230136139123576,고착형 단절 위험군,0.41,0.3914
1,37,1369,3,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,5,0,1986,1,0,0,0,0,0,0,0,0,202305,35-39,0,1,0.8690891373252315,0.05220923441143611,안정군,0.893,0.0758
2,26,676,4,10,1,0,1,0,0,0,0,1,0,1,0,0,0,4,3,1,1997,3,201902,201603,1,3,2,1,4,2,202305,25-29,0,1,0.3919124145179411,0.15422315360960995,취업취약 비단절군,0.528,0.2904
2,26,676,4,91,1,0,1,0,0,0,0,1,0,1,0,0,0,8,3,3,1995,3,201702,201403,1,0,0,1,1,0,202205,25-29,0,0,0.2827270657092034,0.15633791231367275,고착형 단절 위험군,0.451,0.3246
2,25,625,5,21,1,0,1,0,0,0,0,1,0,0,1,0,0,0,3,1,1996,3,201902,201503,2,4,2,2,3,2,202105,25-29,0,1,0.9112078228006846,0.16095345897786528,재연결 가능 단절군,0.89,0.1393
1,28,784,4,70,1,0,1,0,0,0,1,0,0,1,0,1,0,0,3,1,1995,3,202002,201803,1,2,2,2,3,2,202305,25-29,0,1,0.9281186868686868,0.12123110098163072,안정군,0.913,0.1064
1,37,1369,4,70,2,0,0,0,1,0,0,0,0,1,0,1,0,0,5,0,1984,1,0,0,0,0,0,0,0,0,202205,35-39,0,1,0.9697522885764971,0.05014325784812647,안정군,0.964,0.0442
1,26,676,5,100,1,0,1,0,0,0,1,0,0,0,1,0,0,0,3,1,1995,3,202102,201403,1,4,2,2,4,1,202105,25-29,0,0,0.9504654381697314,0.1237875978263681,안정군,0.928,0.1015
1,27,729,5,70,2,0,1,0,0,0,0,0,0,0,1,1,0,0,3,1,1993,1,201802,201203,2,4,2,2,4,1,202105,25-29,0,1,1.0,0.1237875978263681,안정군,0.963,0.0867
2,20,400,5,40,1,1,0,0,0,0,0,1,0,0,1,0,1,3,2,1,2001,3,0,202003,1,0,0,1,0,0,202205,20-24,0,1,0.3648518250930772,0.38198034766775535,안정군,0.441,0.4579
1,30,900,5,70,1,0,0,1,0,0,1,0,0,0,1,1,0,0,4,1,1991,3,201302,201003,2,0,0,2,1,0,202205,30-34,0,1,0.8220812976820585,0.05785455694967152,안정군,0.858,0.0939
2,37,1369,2,0,2,0,0,0,1,1,0,0,1,0,0,0,0,0,5,0,1986,2,0,0,0,0,0,0,0,0,202305,35-39,0,1,0.5605655711680324,0.30263997373455936,취업취약 비단절군,0.602,0.3437
2,30,900,4,91,1,0,0,1,0,0,0,1,0,1,0,0,0,0,4,2,1993,9,201402,201203,2,2,1,2,3,2,202305,30-34,0,1,0.928621982345513,0.22887157543852418,안정군,0.881,0.1816
2,27,729,4,40,2,0,1,0,0,1,0,0,0,1,0,0,1,0,3,1,1993,1,201402,201203,1,2,2,2,2,2,202105,25-29,0,0,0.705134007695008,0.16095345897786528,재연결 가능 단절군,0.745,0.2011
2,38,1444,5,40,2,0,0,0,1,1,0,0,0,0,1,0,1,0,5,0,1984,2,0,0,0,0,0,0,0,0,202305,35-39,0,1,0.5958721642994972,0.30263997373455936,취업취약 비단절군,0.626,0.3331
1,30,900,4,100,1,0,0,1,0,0,1,0,0,1,0,0,0,0,4,1,1991,3,201202,201003,1,2,2,2,3,2,202205,30-34,0,1,0.8504769220018158,0.05785455694967152,안정군,0.878,0.0854
1,21,441,3,3,1,1,0,0,0,0,1,0,1,0,0,1,0,0,2,1,2001,9,202002,201703,2,3,2,2,2,2,202305,20-24,0,1,0.8448940722580621,0.492572976263481,재연결 가능 단절군,0.744,0.3913
2,35,1225,4,92,1,0,0,0,1,0,0,1,0,1,0,0,0,0,5,0,1985,3,0,0,0,0,0,0,0,0,202105,35-39,0,0,0.676327423332868,0.31559084187742065,재연결 가능 단절군,0.679,0.318
2,29,841,5,70,1,0,1,0,0,0,0,1,0,0,1,1,0,0,3,2,1993,3,201602,201103,1,4,2,2,1,1,202205,25-29,0,1,0.8929682796254266,0.15633791231367275,재연결 가능 단절군,0.878,0.1415
2,34,1156,5,40,2,0,0,1,0,1,0,0,0,0,1,0,1,0,4,2,1986,1,201002,200603,1,4,2,2,4,1,202105,30-34,0,1,0.7876514644606475,0.24230136139123576,재연결 가능 단절군,0.779,0.2333
2,36,1296,5,50,2,0,0,0,1,1,0,0,0,0,1,1,0,0,5,0,1985,2,0,0,0,0,0,0,0,0,202205,35-39,0,0,0.5911063556969941,0.31144141770894623,고착형 단절 위험군,0.62,0.3407
2,38,1444,5,22,2,0,0,0,1,1,0,0,0,0,1,0,1,0,5,0,1984,2,0,0,0,0,0,0,0,0,202205,35-39,0,1,0.5911063556969941,0.31144141770894623,고착형 단절 위험군,0.62,0.3407
1,29,841,5,70,1,0,1,0,0,0,1,0,0,0,1,1,0,0,3,1,1993,1,201802,201203,2,4,2,2,4,1,202305,25-29,0,1,0.9833207439805657,0.12123110098163072,안정군,0.952,0.0899
